0.000000	angel	0.000000	kum
0.181818	pablo	0.333333	kuri
0.363636	angel	0.666667	kuc
0.545455	lety	1.000000	kuc
0.545455	angel	1.000000	kum
0.636364	angel	0.833333	kuc
0.727273	lety	0.666667	kuc
1.000000	pablo	0.500000	kuri
0.000000	angel	0.000000	kum
0.181818	pablo	0.333333	kuri
0.363636	angel	0.666667	kuc
0.545455	lety	1.000000	kuc
0.545455	angel	1.000000	kum
0.636364	angel	0.833333	kuc
0.727273	lety	0.666667	kuc
1.000000	pablo	0.500000	kuri
0.000000	angel	0.000000	kum
0.181818	pablo	0.333333	kuri
0.363636	angel	0.666667	kuc
0.545455	lety	1.000000	kuc
0.545455	angel	1.000000	kum
0.636364	angel	0.833333	kuc
0.727273	lety	0.666667	kuc
1.000000	pablo	0.500000	kuri
0.000000	angel	0.000000	kum
0.181818	pablo	0.333333	kuri
0.363636	angel	0.666667	kuc
0.545455	lety	1.000000	kuc
0.545455	angel	1.000000	kum
0.636364	angel	0.833333	kuc
0.727273	lety	0.666667	kuc
1.000000	pablo	0.500000	kuri
