F,0.023693449093891854,Y,Married,N,Sales/Service,Owner,South,no,3
M,0.029668537235471464,Y,Married,Y,Sales/Service,Owner,Northeast,no,3
F,0.0137640834181174,Y,Married,Y,BlueCollar,Owner,South,no,2
M,0.05563112112367395,Y,Married,Y,Sales/Service,Owner,West,yes,0
M,0.12499751125537885,Y,Married,N,Retired,Owner,South,no,0
F,0.01803351856263317,Y,Single,N,Sales/Service,Owner,West,no,2
M,0.02485492995046823,Y,Married,Y,BlueCollar,Owner,Northeast,yes,2
F,0.00789694926432709,N,Married,N,BlueCollar,Owner,Midwest,no,2
F,0.005388694886312645,Y,Married,N,Sales/Service,Owner,Northeast,no,3
F,0.05427234159803318,Y,Married,N,Professional,Owner,Northeast,no,0
F,0.04480030463234664,Y,Married,N,Professional,Owner,West,yes,0
F,0.01601270795524842,Y,Married,N,Professional,Owner,Midwest,no,3
M,0.023871238006126862,Y,Married,Y,Professional,Owner,Midwest,yes,2
M,0.06221591417868076,Y,Married,Y,Professional,Owner,South,yes,1
F,0.015072737876211894,N,Single,Y,Sales/Service,Owner,South,yes,3
M,0.07194357898384983,Y,Married,Y,Professional,Owner,South,yes,0
F,0.021389096687253296,N,Married,Y,Professional,Owner,South,no,2
M,0.03202411526004155,Y,Married,Y,Sales/Service,Owner,Midwest,yes,3
F,0.05304983022009308,Y,Married,Y,Professional,Owner,South,no,0
M,0.0995497848474022,Y,Married,Y,Professional,Owner,Northeast,yes,0
M,0.07226634039683248,Y,Married,Y,Professional,Owner,West,yes,1
F,0.041147677953744674,N,Married,Y,BlueCollar,Owner,West,no,0
M,0.025563784448602748,Y,Married,Y,Sales/Service,Owner,Northeast,yes,3
M,0.2294957708349946,Y,Married,N,Professional,Owner,West,yes,0
F,0.055619215169506284,Y,Married,Y,Professional,Owner,South,yes,3
M,0.0390361219645945,Y,Married,Y,Sales/Service,Owner,South,yes,3
M,0.02019169786810384,Y,Married,Y,Professional,Owner,South,no,1
F,0.024882143559994355,Y,Married,Y,Professional,Owner,South,yes,0
M,0.2104548484697197,Y,Married,Y,Professional,Owner,West,no,1
M,0.017876940257822937,N,Married,N,Retired,Owner,South,no,2
M,0.025944374781828396,Y,Married,N,Retired,Owner,Midwest,no,0
F,0.018693348543606655,Y,Married,N,Professional,Owner,Northeast,no,0
